Longitude,Latitude,Depth,pTemperature,Salinity,d18O,dD,Year,Month,Reference,
146.66,53.01,0,16.41,30.95,-1.44,**,1998,7,Yamamoto et al (2002),
-158.44,72.73,26,-1.28,30.96,-2.91,**,2002,8,Cooper et al (2005),
-169.12,61.33,0,3.96,30.96,-2.03,**,1990,6,Cooper et al (1997),
-170.35,61.93,0,4.55,30.96,-1.55,**,1990,6,Cooper et al (1997),
-174.49,71.08,12,0.64,30.96,-1.14,**,1992,10,Cooper et al (1997),
-155,84,5,-1.67,30.97,-3.8,**,1967,12,Vetshteyn et al (1974),
138.41,81.04,10,-1.64,30.97,-2.11,**,1995,8,Frank (1996),
171.57,70.5,0,2.89,30.97,-2.09,**,1995,8,Munchow et al (1999),
-166.13,71.2,20,**,30.97,-1.93,**,1988,9,Ostlund and Grall (1993),
145.39,52.93,0,16.87,30.97,-1.41,**,1998,7,Yamamoto et al (2002),
-134.6,70.95,15,1.3,30.98,-3.53,**,1984,10,Ostlund and Grall (1993),
-168.48,59.66,32,-1.25,30.98,-2.8,**,1994,5,Cooper et al (1999),
-170.43,61.58,0,5,30.98,-1.85,**,1990,6,Cooper et al (1997),
-163.84,70.83,6,0.45,30.98,-0.82,**,1992,10,Cooper et al (1997),
-174.31,79.98,30,-1.64,30.99,-3.18,**,1994,8,Ekwurzel et al (2001),
-166.96,67.08,39,7.89,30.99,-1.13,**,1990,9,Cooper et al (1997),
-133.41,70.96,22,**,31,-3.3,**,1986,3,H. Melling (pers. comm.),
-155,83,35,-1.68,31,-2.8,**,1967,12,Vetshteyn et al (1974),
-153.3,72.51,42,-1.62,31,-2.64,**,2002,7,Cooper et al (2005),
-155,84,35,-1.66,31,-2.6,**,1967,12,Vetshteyn et al (1974),
179.02,70.2,13,1.11,31,-1.42,**,1993,8,Cooper et al (1999),
-167,84.3,0,**,31,,-20.4,**,**,Friedman et al (1961),Friedman and Redfield (1969)
-173.32,76.62,13,-1.57,31.01,-2.01,**,1994,8,Ekwurzel et al (2001),
-155.02,71.83,17,-0.8,31.01,-1.66,**,2002,7,Cooper et al (2005),
-172.16,63.98,10,2.45,31.01,-0.87,**,1990,6,Cooper et al (1997),
-134.7,76.5,16,**,31.02,-4.06,**,1979,4,Ostlund and Grall (1993),
-145.58,73.93,50,-1.47,31.02,-3.84,**,1985,4,Ostlund et al (1987),
-169.35,59.37,44,-1.6,31.02,-1.72,**,1994,5,Cooper et al (1999),
-168.75,65.74,49,5.23,31.02,-1.62,**,1993,9,Cooper et al (1999),
-173.32,62.8,0,4.59,31.02,-1.1,**,1990,6,Cooper et al (1997),
-165.4,73.63,20,-1.12,31.03,-3.1,**,2002,8,Cooper et al (2005),
-164.65,70.31,0,7.05,31.03,-1.78,**,1992,8,Cooper et al (1997),
-155,83,5,-1.71,31.04,-3.6,**,1967,12,Vetshteyn et al (1974),
158.35,79.45,26,-1.49,31.04,-3.1,**,2008,10,Abrahamsen et al (2009),
141.87,81.16,10,-1.64,31.04,-2.19,**,1995,8,Frank (1996),
-166.13,71.2,30,**,31.04,-1.77,**,1988,9,Ostlund and Grall (1993),
-173.25,80.15,12,-1.64,31.05,-2.98,**,1994,8,Ekwurzel et al (2001),
-169.1,59.27,43,-1.57,31.05,-2,**,1994,5,Cooper et al (1999),
-166.47,59.47,20,0.27,31.05,-1.62,**,1994,5,Cooper et al (1999),
-171.88,63.86,0,1.88,31.05,-0.45,**,1990,6,Cooper et al (1997),
-129.34,71.34,5,**,31.06,-4,**,1987,3,H. Melling (pers. comm.),
-133.2,70.72,21,**,31.06,-3.4,**,1986,3,H. Melling (pers. comm.),
-168.41,65.67,2,8.17,31.06,-1.21,**,2002,7,Cooper et al (2005),
-177.77,69.17,0,6.63,31.06,-0.67,**,1995,8,Munchow et al (1999),
143.06,54.51,20,5.39,31.07,-1.33,**,1999,9,Yamamoto et al (2002),
-167.13,62.31,25,2.51,31.07,-1.03,**,1990,6,Cooper et al (1997),
-156.07,56.85,0,**,31.07,-0.54,**,1982,9,Kipphut (1990),
-129.5,89.17,50,-1.61,31.08,-2.43,**,1979,5,Ostlund et al (1987),
-169.69,70.46,4,0.25,31.08,-1.11,**,1992,10,Cooper et al (1997),
135,78.81,20,-1.59,31.09,-2.26,**,1995,8,Frank (1996),
168.35,70.83,39,-1.44,31.09,-1.76,**,1995,8,Munchow et al (1999),
-171.07,68.67,10,3.42,31.09,-1.25,**,1993,9,Cooper et al (1999),
-169.43,62.58,0,3.77,31.09,-1.03,**,1990,6,Cooper et al (1997),
-132.38,70.02,3,**,31.1,-4.8,**,1987,3,H. Melling (pers. comm.),
-133.2,70.72,5,**,31.1,-3.5,**,1986,3,H. Melling (pers. comm.),
-170.54,61.13,42,-1.1,31.11,-1.77,**,1990,6,Cooper et al (1997),
-169.27,59.27,44,-1.58,31.11,-1.69,**,1994,5,Cooper et al (1999),
144.97,79.25,5,-1.68,31.11,-1.55,**,2008,10,Abrahamsen et al (2009),
142.6,55.5,11,4.76,31.11,-1.55,**,2000,6,Yamamoto et al (2002),
136,74.5,22,-1.29,31.12,-4.34,**,1994,9,Mueller-Lupp et al (2003),
133.6,77.4,13,-1.5,31.12,-2.06,**,1993,9,Frank (1996),
138.95,81.11,10,-1.66,31.12,-1.98,**,1995,8,Frank (1996),
-168.06,67.9,6,2.64,31.12,-1.59,**,1993,9,Cooper et al (1999),
144.97,79.25,6,-1.68,31.13,-1.54,**,2008,10,Abrahamsen et al (2009),
-177.12,71.43,5,0.37,31.13,-1.49,**,1993,9,Cooper et al (1999),
125.98,79.4,2,-0.57,31.13,-1.25,**,2007,9,Abrahamsen et al (2009),
-134.37,71.69,25,**,31.14,-3.71,**,1985,4,H. Melling (pers. comm.),
-134.37,71.68,25,**,31.14,-3.71,**,1984,10,Ostlund and Grall (1993),
-169.5,62.8,0,4.27,31.14,-0.92,**,1990,6,Cooper et al (1997),
-175.05,62.02,5,5.35,31.14,-0.88,**,1990,6,Cooper et al (1997),
143.43,81.15,9,-1.66,31.15,-2.03,**,1995,8,Frank (1996),
169,70.83,37,-1.18,31.15,-1.6,**,1995,8,Munchow et al (1999),
172.07,70.17,0,3.04,31.16,-1.71,**,1995,8,Munchow et al (1999),
143.21,55.5,19,7.42,31.16,-1.19,**,1999,9,Yamamoto et al (2002),
-171.07,68.67,29,3.24,31.17,-1.33,**,1993,9,Cooper et al (1999),
-169.34,62.33,0,3.84,31.17,-1.16,**,1990,6,Cooper et al (1997),
-131.06,70.74,13,**,31.18,-4,**,1987,3,H. Melling (pers. comm.),
-178.62,80.33,11,-1.62,31.18,-3.28,**,1994,8,Ekwurzel et al (2001),
-168.84,74.5,40,-1.57,31.18,-2.47,**,1994,7,Ekwurzel et al (2001),
-172.09,61.43,0,4.96,31.18,-1.55,**,1990,6,Cooper et al (1997),
142.88,54.43,40,3.63,31.18,-1.36,**,1999,9,Yamamoto et al (2002),
-166.49,68.92,28,3.42,31.19,-1.88,**,1990,9,Cooper et al (1997),
-120,89,60,**,31.2,-2.9,**,1979,5,Moore et al (1983),
-168.21,59.56,32,-1.04,31.2,-2.67,**,1994,5,Cooper et al (1999),
-166,59.67,23,0.43,31.2,-2.15,**,1994,5,Cooper et al (1999),
131.06,80.88,10,-1.61,31.2,-2.02,**,1995,8,Frank (1996),
146.01,53.01,10,13.81,31.2,-1.47,**,1998,7,Yamamoto et al (2002),
-168.87,65.76,37,4.87,31.2,-1.46,**,1993,9,Cooper et al (1999),
-165.4,73.63,31,-1.3,31.21,-2.68,**,2002,8,Cooper et al (2005),
-168.22,65.65,35,3.76,31.21,-2.37,**,1993,6,Cooper et al (1997),
140.16,81.16,11,-1.66,31.21,-2.06,**,1995,8,Frank (1996),
-159.9,71.16,65,4.74,31.21,-1.34,**,1993,9,Cooper et al (1999),
-169.22,61.7,32,-0.33,31.22,-1.4,**,1990,6,Cooper et al (1997),
-177.12,71.43,25,0.45,31.22,-1.38,**,1993,9,Cooper et al (1999),
125.97,78.92,2,0.27,31.22,-1.35,**,2007,9,Abrahamsen et al (2009),
-131.7,75.1,46,**,31.23,-2.72,**,1978,10,Ostlund and Hut (1984),
-167.17,67.77,5,5.86,31.24,-0.9,**,1987,8,Grebmeier et al (1990),
-143.43,72.57,50,-1.42,31.25,-3.53,**,1984,10,Ostlund and Grall (1993),
-163.67,75.3,25,-1.45,31.25,-1.87,**,1993,8,Cooper et al (1999),
178.39,70.08,20,0.02,31.25,-1.79,**,1993,8,Cooper et al (1999),
-168.83,71,5,0.77,31.25,-0.94,**,1992,10,Cooper et al (1997),
-131,71.41,15,**,31.26,-3.3,**,1986,3,H. Melling (pers. comm.),
-170.58,75.45,12,-1.57,31.26,-1.64,**,1994,7,Ekwurzel et al (2001),
-169.45,59.26,52,-1.58,31.26,-1.5,**,1994,5,Cooper et al (1999),
-172.06,70.65,0,4.86,31.26,-1.04,**,1993,8,Cooper et al (1999),
-172.06,70.65,22,4.85,31.26,-1,**,1993,8,Cooper et al (1999),
-139.62,69.96,16,**,31.27,-3.5,**,1986,3,H. Melling (pers. comm.),
-163,75.4,10,-1.46,31.27,-2.13,**,1993,8,Cooper et al (1999),
-166.5,74.5,25,-1.49,31.27,-1.91,**,1993,8,Cooper et al (1999),
-176.21,68.76,0,3.75,31.27,-1.24,**,1993,8,Cooper et al (1999),
-168.35,62.13,26,0.74,31.27,-1.16,**,1990,6,Cooper et al (1997),
-171.8,63.8,21,2.1,31.27,-0.57,**,1990,6,Cooper et al (1997),
-175.08,70.25,11,1.42,31.28,-1.09,**,1992,10,Cooper et al (1997),
127.5,74.5,35,-1.43,31.29,-5.5,**,1994,9,Mueller-Lupp et al (2003),
-134.39,71.76,20,**,31.29,-3.4,**,1986,3,H. Melling (pers. comm.),
-145.58,73.93,60,-1.39,31.29,-3.32,**,1985,4,Ostlund et al (1987),
-168.35,62.72,0,4.04,31.29,-1.02,**,1990,6,Cooper et al (1997),
-169.24,70.43,4,0.24,31.29,-0.95,**,1992,10,Cooper et al (1997),
-134.39,71.76,30,**,31.3,-4,**,1986,3,H. Melling (pers. comm.),
-153.12,57.17,0,15.55,31.3,-2.93,**,2003,8,Taylor (2004 pers. comm.),
-153.12,57.17,0,15.55,31.3,-2.92,**,2003,8,Taylor (2004 pers. comm.),
-159.09,73.71,40,-0.77,31.3,-2.73,**,2002,8,Cooper et al (2005),
130.5,77.23,8,1.28,31.3,-1.9,**,2007,9,Abrahamsen et al (2009),
-170.43,61.58,39,-1.13,31.3,-1.49,**,1990,6,Cooper et al (1997),
-130.49,71.19,24,**,31.31,-3.4,**,1986,3,H. Melling (pers. comm.),
-166.99,68.94,10,4.04,31.31,-1.33,**,1992,10,Cooper et al (1997),
-175.05,62.02,10,3.73,31.31,-1.1,**,1990,6,Cooper et al (1997),
139.99,55.64,3,4.47,31.31,-0.74,**,2000,6,Yamamoto et al (2002),
-134.39,71.76,10,**,31.32,-3.7,**,1986,3,H. Melling (pers. comm.),
-168,59.22,34,-0.62,31.32,-1.76,**,1994,5,Cooper et al (1999),
-168.72,62.66,0,3.49,31.32,-1.21,**,1990,6,Cooper et al (1997),
-160.81,55.42,0,**,31.32,-0.46,**,1982,9,Kipphut (1990),
-133.71,70.39,20,**,31.33,-3.4,**,1986,3,H. Melling (pers. comm.),
-169.29,62.06,0,3.82,31.33,-1.77,**,1990,6,Cooper et al (1997),
-173.25,80.15,48,-1.65,31.34,-3.03,**,1994,8,Ekwurzel et al (2001),
-162.85,70.43,24,5.34,31.34,-1.85,**,1992,8,Cooper et al (1997),
142.97,79.8,6,-1.71,31.34,-1.8,**,2008,10,Abrahamsen et al (2009),
-155.02,71.83,26,-1.32,31.34,-1.63,**,2002,7,Cooper et al (2005),
145.39,52.93,10,16.38,31.34,-1.39,**,1998,7,Yamamoto et al (2002),
-167.74,59.77,27,-0.62,31.35,-2.44,**,1994,5,Cooper et al (1999),
134.97,77,0,**,31.35,-1.91,**,1992,4,Bauch et al (1995),
142.97,79.8,12,-1.71,31.35,-1.87,**,2008,10,Abrahamsen et al (2009),
-173.47,61.73,15,1.08,31.35,-1.29,**,1990,6,Cooper et al (1997),
138.9,55.74,4,5.53,31.35,-0.77,**,2000,6,Yamamoto et al (2002),
-133.71,70.39,5,**,31.36,-3.5,**,1986,3,H. Melling (pers. comm.),
-167.02,70.66,5,3.9,31.36,-2.61,**,1993,9,Cooper et al (1999),
-165.75,70.97,6,3.98,31.36,-2.07,**,1993,9,Cooper et al (1999),
143.57,79.68,6,-1.72,31.36,-1.77,**,2008,10,Abrahamsen et al (2009),
-179.56,70.64,26,0.92,31.36,-0.65,**,1990,9,Cooper et al (1997),
-143.42,72.57,50,-1.14,31.37,-3.3,**,1984,10,Ostlund and Grall (1993),
-143.47,72.58,50,**,31.37,-3.21,**,1990,9,Macdonald et al (1995),
-166.83,62.22,20,3.06,31.37,-2.8,**,1990,6,Cooper et al (1997),
-168.08,66.8,23,7.71,31.37,-1.24,**,1990,9,Cooper et al (1997),
-129.23,71.11,13,**,31.38,-3.8,**,1987,3,H. Melling (pers. comm.),
-168.03,65.54,20,5.86,31.38,-1.74,**,1992,8,Cooper et al (1997),
-159.56,71.01,65,1.38,31.38,-1.64,**,1993,8,Cooper et al (1999),
143.57,79.68,10,-1.71,31.38,-1.63,**,2008,10,Abrahamsen et al (2009),
-155.13,71.78,25,-1.55,31.38,-1.53,**,1992,8,Cooper et al (1997),
-165.35,72,30,3.51,31.38,-1.19,**,1993,8,Cooper et al (1999),
-173,68,0,7.05,31.38,-1.02,**,1995,8,Munchow et al (1999),
-170.22,62.73,0,4.54,31.38,-0.95,**,1990,6,Cooper et al (1997),
-166.64,59.78,20,0.57,31.39,-2.22,**,1994,5,Cooper et al (1999),
-171.67,75.94,31,-1.61,31.39,-1.94,**,1994,7,Ekwurzel et al (2001),
142.32,79.93,7,-1.71,31.39,-1.89,**,2008,10,Abrahamsen et al (2009),
-167.1,74.3,26,-1.5,31.39,-1.79,**,1993,8,Cooper et al (1999),
143.2,55.51,2,4.21,31.39,-1.37,**,2000,6,Yamamoto et al (2002),
-173.47,61.73,10,4.27,31.39,-1.33,**,1990,6,Cooper et al (1997),
-169.33,64.39,5,9.38,31.39,-0.9,**,1987,8,Grebmeier et al (1990),
-166.94,69.03,40,7.3,31.39,-0.84,**,1990,9,Cooper et al (1997),
-134.47,71.81,5,**,31.4,-3.7,**,1987,3,H. Melling (pers. comm.),
-141.4,71.45,50,-1.51,31.4,-3.43,**,1984,10,Ostlund and Grall (1993),
137.67,79,2,1.86,31.41,-2.13,**,2007,9,Abrahamsen et al (2009),
142.32,79.93,11,-1.71,31.41,-1.92,**,2008,10,Abrahamsen et al (2009),
133.56,77.9,9,-1.46,31.41,-1.75,**,1993,9,Frank (1996),
-177.43,68.62,38,0.19,31.42,-1.56,**,1992,10,Cooper et al (1997),
143.34,54.01,16,2.27,31.43,-2.04,**,1998,7,Yamamoto et al (2002),
122.07,75.52,2,-0.09,31.43,-1.78,**,1994,9,Mueller-Lupp et al (2003),
-169.12,65.87,8,4.52,31.43,-1.33,**,1993,9,Cooper et al (1999),
-169.27,62.1,15,7.68,31.43,-1.33,**,1984,10,Ostlund and Grall (1993),
-169.27,62.1,5,7.69,31.43,-1.27,**,1984,10,Ostlund and Grall (1993),
-129.23,71.11,40,**,31.44,-3.3,**,1987,3,H. Melling (pers. comm.),
126.39,77.03,6,-1.23,31.44,-1.54,**,1993,9,Frank (1996),
-167.39,68.51,2,7.75,31.44,-1.26,**,2002,7,Cooper et al (2005),
162.18,80.55,27,-1.53,31.45,-2.71,**,2008,10,Abrahamsen et al (2009),
-167.43,62.41,21,1.75,31.45,-2.16,**,1990,6,Cooper et al (1997),
-173.47,61.73,5,4.88,31.45,-1.51,**,1990,6,Cooper et al (1997),
-173.47,61.73,0,4.82,31.45,-1.46,**,1990,6,Cooper et al (1997),
-172.33,70.8,33,3.62,31.45,-1.32,**,1990,9,Cooper et al (1997),
142.88,54.43,51,2.41,31.45,-1.28,**,1999,9,Yamamoto et al (2002),
-167.68,64.68,29,2.83,31.46,-2.28,**,1988,8,Grebmeier et al (1990),
-165.22,70.48,41,4.86,31.46,-1.35,**,1990,9,Cooper et al (1997),
-169.29,62.06,32,0.21,31.46,-1.26,**,1990,6,Cooper et al (1997),
137.36,55.9,2,7.62,31.46,-1.13,**,1999,9,Yamamoto et al (2002),
137.36,55.9,10,7.62,31.46,-1.13,**,1999,9,Yamamoto et al (2002),
-166.95,59.27,26,-0.2,31.47,-1.34,**,1994,5,Cooper et al (1999),
-167.49,68.94,9,3.46,31.47,-1.26,**,1992,10,Cooper et al (1997),
137.36,55.9,20,7.63,31.47,-1.14,**,1999,9,Yamamoto et al (2002),
152,80.27,26,-1.53,31.48,-2.72,**,2007,9,Abrahamsen et al (2009),
144,79.53,9,-1.72,31.48,-1.6,**,2008,10,Abrahamsen et al (2009),
144,79.53,5,-1.72,31.48,-1.59,**,2008,10,Abrahamsen et al (2009),
-177.5,69.33,0,6.47,31.48,-0.79,**,1995,8,Munchow et al (1999),
-133.45,69.9,10,**,31.49,-3.5,**,1986,3,H. Melling (pers. comm.),
-171.76,61.83,49,-1.55,31.49,-1.37,**,1990,6,Cooper et al (1997),
-170.8,63.03,0,4.34,31.49,-0.92,**,1990,6,Cooper et al (1997),
-127.76,71.21,3,-1.73,31.5,-4,**,1988,3,Melling and Moore (1995),
-142.9,83.9,61,**,31.5,-2.73,**,1978,10,Ostlund and Hut (1984),
137.71,55.88,2,7.31,31.5,-1.68,**,2000,6,Yamamoto et al (2002),
-168.99,68.93,13,1.97,31.5,-1.64,**,1993,9,Cooper et al (1999),
141.42,55.5,3,7,31.5,-1.33,**,2000,6,Yamamoto et al (2002),
137.36,55.9,30,7.64,31.5,-1.11,**,1999,9,Yamamoto et al (2002),
138.9,55.74,11,5.32,31.5,-0.79,**,2000,6,Yamamoto et al (2002),
130.5,74.75,21,-0.7,31.51,-4.2,**,2007,9,Abrahamsen et al (2009),
-152.56,71.45,41,-1.12,31.51,-1.69,**,2002,8,Cooper et al (2005),
137.36,55.9,39,7.65,31.51,-1.11,**,1999,9,Yamamoto et al (2002),
-167.4,59.07,35,-0.69,31.52,-1.31,**,1994,5,Cooper et al (1999),
-170.35,61.93,41,-1.3,31.52,-1.3,**,1990,6,Cooper et al (1997),
-167.73,62.51,15,1.69,31.52,-1.24,**,1990,6,Cooper et al (1997),
160.22,80.03,25,-1.54,31.53,-2.9,**,2008,10,Abrahamsen et al (2009),
-167.73,62.51,23,1.67,31.53,-2,**,1990,6,Cooper et al (1997),
-152.29,71.7,31,-1.48,31.53,-1.81,**,2002,8,Cooper et al (2005),
-167.73,62.51,20,1.68,31.53,-1.38,**,1990,6,Cooper et al (1997),
-173.47,61.73,20,-0.88,31.53,-1.29,**,1990,6,Cooper et al (1997),
-171.35,63.13,0,3.61,31.54,-1.57,**,1990,6,Cooper et al (1997),
-169.5,67.43,37,2.97,31.54,-1.31,**,1993,9,Cooper et al (1999),
128.51,74.5,32,-1.52,31.55,-3.59,**,1994,9,Mueller-Lupp et al (2003),
-129.12,69.98,2,**,31.57,-4.81,**,1992,5,Macdonald et al (1995),
-133.45,69.9,15,**,31.57,-3.5,**,1986,3,H. Melling (pers. comm.),
-139.07,70.41,50,**,31.57,-2.93,**,1990,9,Macdonald et al (1995),
-114.72,81.45,250,-1.72,31.57,-2.62,**,1988,9,Ostlund and Grall (1993),
-157.4,73.42,50,-1.28,31.57,-2.44,**,2002,8,Cooper et al (2005),
-158.22,72.88,46,-1.59,31.57,-2.16,**,2002,8,Cooper et al (2005),
140.03,80.52,6,-1.72,31.57,-1.89,**,2008,10,Abrahamsen et al (2009),
126,77.83,6,-1.71,31.57,-1.56,**,2008,10,Abrahamsen et al (2009),
-166.34,68.91,25,4.22,31.57,-1.45,**,1990,9,Cooper et al (1997),
-173,62.98,0,4.24,31.57,-1.12,**,1990,6,Cooper et al (1997),
-168.75,67.35,32,5.83,31.57,-1.09,**,1993,8,Cooper et al (1999),
-171.6,68.61,12,2.2,31.57,-1.01,**,1992,10,Cooper et al (1997),
-156.58,72.3,50,-1.3,31.58,-2.13,**,2005,6,Polyak and Ortiz (2009, pers. comm.)
-167.33,59.95,30,0.26,31.58,-1.94,**,1994,5,Cooper et al (1999),
-176.77,69.33,26,5.52,31.58,-1.06,**,1990,9,Cooper et al (1997),
-167.07,59.6,21,0.04,31.59,-1.41,**,1994,5,Cooper et al (1999),
-167.59,59.42,27,-0.39,31.59,-1.29,**,1994,5,Cooper et al (1999),
-168.32,65.69,23,5.37,31.59,-1.15,**,1993,9,Cooper et al (1999),
134.7,87.3,46,**,31.6,-2.21,**,1978,10,Ostlund and Hut (1984),
-173.47,61.73,25,-1.19,31.6,-1.32,**,1990,6,Cooper et al (1997),
-169.34,62.33,31,-0.8,31.6,-0.98,**,1990,6,Cooper et al (1997),
-169.19,65.86,6,5.67,31.6,-0.95,**,1993,8,Cooper et al (1999),
-172.44,70.28,36,2.24,31.6,-0.9,**,1993,9,Cooper et al (1999),
-133.45,69.9,18,**,31.61,-3.6,**,1986,3,H. Melling (pers. comm.),
140.03,80.52,11,-1.72,31.61,-1.91,**,2008,10,Abrahamsen et al (2009),
-175.08,69.76,26,5.46,31.61,-1.06,**,1990,9,Cooper et al (1997),
-172.44,70.28,5,2.24,31.61,-1.01,**,1993,9,Cooper et al (1999),
-166.33,68.94,26,4.41,31.61,-0.98,**,1992,10,Cooper et al (1997),
-154.97,71.88,25,-1.39,31.62,-1.7,**,1992,8,Cooper et al (1997),
-166.99,68.97,39,3.8,31.62,-1.21,**,1990,9,Cooper et al (1997),
143.94,54.92,8,7.86,31.62,-1.14,**,1999,9,Yamamoto et al (2002),
-171.23,66.87,32,1.97,31.62,-1.14,**,1993,9,Cooper et al (1999),
143.94,54.92,3,7.88,31.62,-1.13,**,1999,9,Yamamoto et al (2002),
-158.97,71.04,45,3.15,31.62,-0.79,**,1992,10,Cooper et al (1997),
-127.6,70.48,8,-1.73,31.63,-3.9,**,1988,3,Melling and Moore (1995),
-172.33,62.43,45,-1.02,31.63,-1.95,**,1993,6,Cooper et al (1997),
126,77.83,11,-1.71,31.63,-1.58,**,2008,10,Abrahamsen et al (2009),
-164.24,54.42,0,**,31.63,-0.87,**,1982,9,Kipphut (1990),
-170.09,70.79,25,4.42,31.63,-0.77,**,1990,9,Cooper et al (1997),
-134.81,71.96,13,-1.73,31.64,-3.7,**,1988,3,Melling and Moore (1995),
-156.98,71.55,10,-0.54,31.64,-2.07,**,2005,6,Polyak and Ortiz (2009, pers. comm.)
-170.68,62.08,40,-0.22,31.64,-2.05,**,1993,6,Cooper et al (1997),
-156.98,71.55,0,-0.47,31.64,-1.94,**,2005,6,Polyak and Ortiz (2009, pers. comm.)
-163,75.4,27,-1.37,31.64,-1.73,**,1993,8,Cooper et al (1999),
-141.4,71.45,75,-1.6,31.65,-3.24,**,1984,10,Ostlund and Grall (1993),
-171.27,61.77,45,0.31,31.65,-2,**,1993,6,Cooper et al (1997),
-173.1,70.91,26,4.81,31.65,-1.21,**,1990,9,Cooper et al (1997),
-134.5,70.98,50,**,31.66,-2.9,**,1990,9,Macdonald et al (1995),
-160.18,70.9,50,1.7,31.66,-1.53,**,1993,8,Cooper et al (1999),
131.41,79.04,30,-1.67,31.66,-1.42,**,1995,8,Frank (1996),
139.11,55,10,4.06,31.66,-0.82,**,2000,6,Yamamoto et al (2002),
-160.91,71.52,44,4.1,31.66,-0.76,**,1993,9,Cooper et al (1999),
-129.12,69.98,0,**,31.67,-4.9,**,1992,5,Macdonald et al (1995),
-143.47,72.58,60,**,31.67,-2.84,**,1990,9,Macdonald et al (1995),
144.83,54,10,14.1,31.67,-1.45,**,1998,7,Yamamoto et al (2002),
-177.16,69.23,26,4.77,31.67,-0.93,**,1990,9,Cooper et al (1997),
169.5,71,43,-0.7,31.68,-1.57,**,1995,8,Munchow et al (1999),
-127.49,70.5,3,-1.72,31.69,-3.7,**,1988,3,Melling and Moore (1995),
-129.3,71.72,13,-1.73,31.69,-3.6,**,1988,3,Melling and Moore (1995),
-165.4,73.63,41,-1.41,31.69,-2.27,**,2002,8,Cooper et al (2005),
-170.49,70.6,6,3.42,31.69,-1.48,**,1993,9,Cooper et al (1999),
-168.49,70.61,6,3.3,31.69,-1.45,**,1993,9,Cooper et al (1999),
143.76,53,29,2.21,31.69,-1.3,**,1999,9,Yamamoto et al (2002),
-167.49,68.94,40,4.19,31.69,-1.16,**,1990,9,Cooper et al (1997),
-167.99,68.94,5,3.24,31.69,-0.71,**,1992,10,Cooper et al (1997),
126.5,74.5,33,-1.44,31.7,-3.7,**,1994,9,Mueller-Lupp et al (2003),
141.2,80.22,7,-1.74,31.7,-2.12,**,2008,10,Abrahamsen et al (2009),
-172.2,61.93,51,-1.14,31.7,-1.76,**,1993,6,Cooper et al (1997),
-152.56,71.45,51,-1.25,31.7,-1.53,**,2002,8,Cooper et al (2005),
-171.53,62.15,40,-1.47,31.7,-1.44,**,1990,6,Cooper et al (1997),
-170.49,70.6,29,3.45,31.7,-1.21,**,1993,9,Cooper et al (1999),
-167.39,68.51,40,4.02,31.7,-1.09,**,2002,7,Cooper et al (2005),
125.98,79.83,2,-0.64,31.7,-1.06,**,2007,9,Abrahamsen et al (2009),
123,33,1,21,31.7,-0.84,**,1992,9,Kang et al (1994),
123,33,20,21,31.7,-0.8,**,1992,9,Kang et al (1994),
-172.23,68.4,5,2.51,31.7,-0.69,**,1993,9,Cooper et al (1999),
-159.53,71.06,79,2.11,31.71,-1.61,**,1993,9,Cooper et al (1999),
140,54.99,19,9.08,31.71,-1.01,**,1999,9,Yamamoto et al (2002),
139.99,55.64,10,4.01,31.71,-0.74,**,2000,6,Yamamoto et al (2002),
-134.6,70.95,50,-1.2,31.72,-3.15,**,1984,10,Ostlund and Grall (1993),
-177.01,71.75,24,-1.05,31.72,-1.23,**,1990,9,Cooper et al (1997),
-164.08,75.2,25,-1.4,31.72,-1.12,**,1993,8,Cooper et al (1999),
-148.83,59.82,0,**,31.72,-1.1,**,1980,**,Kipphut (1990),
-120.8,83.3,46,**,31.73,-2.84,**,1979,4,Ostlund and Grall (1993),
-140,82,50,-1.32,31.73,-2.7,**,1969,12,Vetshteyn et al (1974),
144.25,53.02,20,7.3,31.73,-1.16,**,1999,9,Yamamoto et al (2002),
-169.12,65.87,42,3.86,31.73,-1.06,**,1993,9,Cooper et al (1999),
-173.47,61.73,30,-1.5,31.73,-1.05,**,1990,6,Cooper et al (1997),
177.5,69.83,0,2.49,31.73,-0.83,**,1995,8,Munchow et al (1999),
-171.59,62.27,42,-0.65,31.74,-2.08,**,1993,6,Cooper et al (1997),
-167.85,73.5,22,-1.59,31.74,-1.32,**,1993,8,Cooper et al (1999),
144.52,49.51,20,7.43,31.74,-1.26,**,1999,9,Yamamoto et al (2002),
138.35,55.8,2,6.55,31.74,-0.99,**,1999,9,Yamamoto et al (2002),
-128.33,71.09,3,-1.74,31.75,-3.8,**,1988,3,Melling and Moore (1995),
144.34,49.5,0,11.43,31.75,-1.56,**,1998,7,Yamamoto et al (2002),
-170.19,62.93,0,3.79,31.75,-1.12,**,1990,6,Cooper et al (1997),
138.35,55.8,8,6.36,31.75,-0.99,**,1999,9,Yamamoto et al (2002),
-134.37,71.69,50,**,31.77,-4.26,**,1985,4,H. Melling (pers. comm.),
-134.37,71.68,50,**,31.77,-4.26,**,1984,10,Ostlund and Grall (1993),
-127.26,70.56,6,-1.71,31.77,-3.6,**,1988,3,Melling and Moore (1995),
-145.58,73.93,70,-1.35,31.77,-2.62,**,1985,4,Ostlund et al (1987),
161.25,80.33,27,-1.6,31.77,-2.6,**,2008,10,Abrahamsen et al (2009),
